text,author,tags,born_date,born_location,desciption
You can never get a cup of tea large enough or a book long enough to suit me.,C.S. Lewis,"books,inspirational,reading,tea","November 29, 1898","in Belfast, Ireland",CLIVE STAPLES LEWIS (1898–1963) was one of the intellectual giants of the twentieth century and argu
Only in the darkness can you see the stars.,Martin Luther King Jr.,"hope,inspirational","January 15, 1929","in Atlanta, Georgia, The United States","Martin Luther King, Jr. was one of the pivotal leaders of the American civil rights movement. King w"
"A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.",George R.R. Martin,"read,readers,reading,reading-books","September 20, 1948","in Bayonne, New Jersey, The United States","George R. R. Martin was born September 20, 1948, in Bayonne, New Jersey. His father was Raymond Coll"
"If you only read the books that everyone else is reading, you can only think what everyone else is thinking.",Haruki Murakami,"books,thought","January 12, 1949","in Kyoto, Japan",Haruki Murakami (Japanese: 村上 春樹) is a popular contemporary Japanese writer and translator. His work
"He's like a drug for you, Bella.",Stephenie Meyer,"drug,romance,simile","December 24, 1973","in Connecticut, The United States","I was born in Connecticut in 1973, during a brief blip in my family's otherwise western U.S. existen"
The difference between genius and stupidity is: genius has its limits.,Alexandre Dumas fils,misattributed-to-einstein,"July 27, 1824","in Paris, France","Alexandre Dumas (son) was born in Paris, France, the illegitimate child of Marie-Laure-Catherine Lab"
Life isn't about finding yourself. Life is about creating yourself.,George Bernard Shaw,"inspirational,life,yourself","July 26, 1856","in Dublin, Ireland","George Bernard Shaw was an Irish playwright, socialist, and a co-founder of the London School of Eco"
"When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.",Helen Keller,inspirational,"June 27, 1880","in Tuscumbia, Alabama, The United States",Helen Keller would not be bound by conditions. Rendered deaf and blind at 19 months by scarlet fever
There is no friend as loyal as a book.,Ernest Hemingway,"books,friends,novelist-quotes","July 21, 1899","in Oak Park, Illinois, The United States",Ernest Miller Hemingway was an American author and journalist. His economical and understated style 
Not all those who wander are lost.,J.R.R. Tolkien,"bilbo,journey,lost,quest,travel,wander","January 03, 1892","in Bloemfontein, Mangaung, Free State, South Africa","John Ronald Reuel Tolkien, CBE, was an English writer, poet, WWI veteran (a First Lieutenant in the "
You don’t forget the face of the person who was your last hope.,Suzanne Collins,the-hunger-games,"August 11, 1962","in Hartford, Connecticut, The United States","Librarian Note: There is more than one author in the Goodreads database with this name.Since 1991, S"
I am free of all prejudice. I hate everyone equally. ,W.C. Fields,"humor,sinister","January 29, 1880","in Darby, Pennsylvania, The United States","W. C. Fields was born William Claude Dukenfield, the eldest of five children. Field's parents were a"
"You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.",John Lennon,"beatles,connection,dreamers,dreaming,dreams,hope,inspirational,peace","October 09, 1940","in Liverpool, England, The United Kingdom","John Winston Ono Lennon, MBE, was an English singer-songwriter who rose to worldwide fame as one of "
