,user,project,issues
0,pytorch,pytorch,5000
87,pandas-dev,pandas,3464
110,odoo,odoo,2608
70,saltstack,salt,2339
178,statsmodels,statsmodels,2272
135,tensorflow,tensorflow,2120
120,numpy,numpy,2038
60,frappe,erpnext,1993
132,zulip,zulip,1706
131,home-assistant,core,1564
127,matplotlib,matplotlib,1559
49,ansible,awx,1424
152,pulumi,pulumi,1407
139,apache,superset,1208
64,plotly,plotly.py,1202
124,micropython,micropython,1171
77,wagtail,wagtail,801
100,microsoft,CNTK,753
86,yt-dlp,yt-dlp,725
107,apache,airflow,700
103,facebookresearch,fairseq,698
164,PySimpleGUI,PySimpleGUI,677
2,bokeh,bokeh,668
98,ageitgey,face_recognition,664
159,plotly,dash,658
78,antlr,antlr4,658
41,PrefectHQ,prefect,612
57,Miserlou,Zappa,605
108,certbot,certbot,526
119,Lightning-AI,lightning,523
111,twintproject,twint,520
147,celery,celery,515
94,scrapy,scrapy,512
121,getredash,redash,498
56,waditu,tushare,492
44,apple,turicreate,488
47,pydantic,pydantic,488
46,beetbox,beets,474
35,serverless-stack,sst,465
55,pybind,pybind11,428
133,huggingface,transformers,399
62,codelucas,newspaper,390
114,InstaPy,InstaPy,383
52,meolu,walle-web,380
15,lbryio,lbry-sdk,364
83,RaRe-Technologies,gensim,362
72,aio-libs,aiohttp,362
71,google,yapf,357
74,CoatiSoftware,Sourcetrail,356
177,beautify-web,js-beautify,351
97,3b1b,manim,344
151,psf,black,321
65,gunthercox,ChatterBot,308
122,tqdm,tqdm,298
95,localstack,localstack,298
43,albumentations-team,albumentations,293
59,searx,searx,293
30,DeviaVir,zenbot,290
53,ManimCommunity,manim,275
101,saleor,saleor,275
149,facebook,prophet,259
24,pola-rs,polars,253
130,keras-team,keras,250
143,pypa,pipenv,244
162,wifiphisher,wifiphisher,241
21,bottlepy,bottle,234
39,gradio-app,gradio,232
61,microsoft,nni,227
16,jofpin,trape,225
91,ryanoasis,nerd-fonts,222
161,SFTtech,openage,222
169,darknessomi,musicbox,221
19,Nuitka,Nuitka,212
150,microsoft,LightGBM,210
10,kivy,python-for-android,209
136,nvbn,thefuck,203
31,facebook,buck,199
118,tornadoweb,tornado,192
96,psf,requests,190
8,mopidy,mopidy,188
82,powerline,powerline,185
185,pytube,pytube,174
184,pymc-devs,pymc,171
69,psf,requests-html,166
1,donnemartin,system-design-primer,165
32,tiangolo,typer,163
20,kedro-org,kedro,162
93,aymericdamien,TensorFlow-Examples,162
17,n1nj4sec,pupy,161
26,tiangolo,sqlmodel,159
168,tiangolo,full-stack-fastapi-postgresql,154
113,wting,autojump,153
167,visgl,deck.gl,152
115,ArchiveBox,ArchiveBox,145
42,dbcli,pgcli,141
7,SecureAuthCorp,impacket,134
102,google,flatbuffers,129
180,jupyterhub,jupyterhub,125
18,fail2ban,fail2ban,118
9,django-cms,django-cms,115
4,httpie,httpie,114
179,graphql-python,graphene,110
125,fastai,fastai,107
22,smicallef,spiderfoot,100
144,google,python-fire,99
117,mkdocs,mkdocs,98
90,jakevdp,PythonDataScienceHandbook,96
28,sloria,TextBlob,95
104,encode,django-rest-framework,93
112,youngyangyang04,leetcode-master,92
89,CorentinJ,Real-Time-Voice-Cloning,88
154,SeleniumHQ,selenium,88
166,threat9,routersploit,86
137,TheAlgorithms,Python,82
88,sherlock-project,sherlock,78
27,arrow-py,arrow,75
174,OpenMined,PySyft,75
171,caprover,caprover,73
67,dragen1860,Deep-Learning-with-TensorFlow-book,72
140,spotify,luigi,72
73,pallets,click,72
99,GitHubDaily,GitHubDaily,69
37,chiphuyen,stanford-tensorflow-tutorials,67
14,dvf,blockchain,62
172,yidao620c,python3-cookbook,60
145,keon,algorithms,59
33,tweepy,tweepy,59
25,microsoft,computervision-recipes,58
80,walter201230,Python,58
148,Kr1s77,awesome-python-login-model,55
92,Textualize,rich,55
45,getpelican,pelican,54
75,Delgan,loguru,52
105,sqlmapproject,sqlmap,51
128,sanic-org,sanic,51
126,Asabeneh,30-Days-Of-Python,48
12,soxoj,maigret,47
11,kennethreitz,records,46
51,Rapptz,discord.py,46
187,httpie,http-prompt,45
176,marceloprates,prettymaps,42
5,serhii-londar,open-source-mac-os-apps,38
40,encode,httpx,35
68,pyecharts,pyecharts,33
3,wangshub,wechat_jump_game,30
48,davisking,dlib,30
181,luyishisi,Anti-Anti-Spider,22
158,facert,awesome-spider,20
175,wolverinn,Waking-Up,19
141,cool-RR,PySnooper,19
173,pre-commit,pre-commit,17
13,gelstudios,gitfiti,17
134,vinta,awesome-python,16
163,ctgk,PRML,15
157,norvig,pytudes,15
79,virgili0,Virgilio,14
34,forthespada,CS-Books,13
23,crazyguitar,pysheeet,13
186,laramies,theHarvester,12
138,AtsushiSakai,PythonRobotics,12
153,locustio,locust,11
84,faif,python-patterns,11
106,MLEveryday,100-Days-Of-ML-Code,10
116,imarvinle,awesome-cs-books,10
156,gto76,python-cheatsheet,8
183,lazyprogrammer,machine_learning_examples,8
182,ajenti,ajenti,8
146,Tencent,MMKV,8
50,shengqiangzhang,examples-of-web-crawlers,8
155,jobbole,awesome-python-cn,8
123,Jack-Cherish,python-spider,8
6,MobSF,Mobile-Security-Framework-MobSF,7
165,kitao,pyxel,7
54,rasbt,python-machine-learning-book,6
58,ml-tooling,best-of-ml-python,4
36,ritchieng,the-incredible-pytorch,3
160,FavioVazquez,ds-cheatsheets,3
76,trekhleb,learn-python,3
38,iamshuaidi,CS-Book,2
129,azl397985856,leetcode,2
85,apachecn,ailearning,2
29,AkashSingh3031,The-Complete-FAANG-Preparation,2
142,instillai,TensorFlow-Course,1
66,Yixiaohan,show-me-the-code,1
63,RunaCapital,awesome-oss-alternatives,1
109,GokuMohandas,Made-With-ML,0
81,bharathgs,Awesome-pytorch-list,0
170,qeeqbox,social-analyzer,0
