,user,project,issues
0,huggingface,transformers,399
1,donnemartin,system-design-primer,165
2,nvbn,thefuck,203
3,521xueweihan,HelloGitHub,52
4,keras-team,keras,250
5,pallets,flask,5
6,pytorch,pytorch,5000
7,practical-tutorials,project-based-learning,16
8,vinta,awesome-python,16
9,CyC2018,CS-Notes,115
10,tensorflow,tensorflow,2120
11,TheAlgorithms,Python,82
12,apache,superset,1208
13,azl397985856,leetcode,2
14,serhii-londar,open-source-mac-os-apps,38
15,yt-dlp,yt-dlp,725
16,apachecn,ailearning,2
17,faif,python-patterns,11
18,pandas-dev,pandas,3464
19,jakevdp,PythonDataScienceHandbook,96
20,CorentinJ,Real-Time-Voice-Cloning,88
21,3b1b,manim,344
22,scikit-learn,scikit-learn,1540
23,home-assistant,core,1564
24,ryanoasis,nerd-fonts,222
25,tiangolo,fastapi,1125
26,psf,requests,190
