,user,project,issues
0,donnemartin,system-design-primer,165
1,keras-team,keras,250
2,pallets,flask,5
3,django,django,
4,521xueweihan,HelloGitHub,52
5,pytorch,pytorch,"5,000+"
6,home-assistant,core,"1,564"
7,huggingface,transformers,399
8,nvbn,thefuck,203
9,practical-tutorials,project-based-learning,16
10,vinta,awesome-python,16
11,TheAlgorithms,Python,82
12,justjavac,free-programming-books-zh_CN,
13,CyC2018,CS-Notes,115
14,apache,superset,"1,208"
15,tiangolo,fastapi,"1,125"
16,azl397985856,leetcode,2
17,d2l-ai,d2l-zh,
18,scikit-learn,scikit-learn,"1,540"
19,psf,requests,190
20,ansible,ansible,670
21,jakevdp,PythonDataScienceHandbook,96
22,serhii-londar,open-source-mac-os-apps,38
23,yt-dlp,yt-dlp,725
24,apachecn,ailearning,2
25,apache,spark,
26,faif,python-patterns,11
27,tensorflow,tensorflow,"2,120"
28,sherlock-project,sherlock,78
29,pandas-dev,pandas,"3,464"
30,CorentinJ,Real-Time-Voice-Cloning,88
31,Avik-Jain,100-Days-Of-ML-Code,
32,aymericdamien,TensorFlow-Examples,162
33,Textualize,rich,55
34,ryanoasis,nerd-fonts,222
35,ageitgey,face_recognition,664
36,microsoft,ML-For-Beginners,
37,localstack,localstack,298
38,scrapy,scrapy,512
39,3b1b,manim,344
