,username,userurl,projname,projurl,stars,about,topics,update,forks,readme,release,contributors,languages,branches,open_issues,closed_issues,open_pulls,closed_pulls
0,donnemartin,https://github.com/donnemartin,system-design-primer,https://github.com/donnemartin/system-design-primer,201207,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,"['python', 'design', 'development', 'programming', 'web', 'system', 'design-patterns', 'interview', 'web-application', 'webapp', 'interview-practice', 'interview-questions', 'design-system']","Oct 27, 2022",36215,https://github.com/donnemartin/system-design-primer#readme,0,115,"{'Python': '98.0%', 'Shell': '2.0%'}",2,166,68,171,272
1,pallets,https://github.com/pallets,flask,https://github.com/pallets/flask,60935,The Python micro framework for building web applications.,"['python', 'flask', 'web-framework', 'wsgi', 'jinja', 'werkzeug', 'pallets']","Oct 26, 2022",15317,https://github.com/pallets/flask#readme,23,682,{'Python': '99.9%'},7,5,2408,4,2269
2,CyC2018,https://github.com/CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,157967,📚技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计,"['python', 'java', 'computer-science', 'algorithm', 'leetcode', 'cpp', 'interview', 'system-design']","Oct 7, 2022",49214,https://github.com/CyC2018/CS-Notes#readme,0,231,{},1,115,438,59,534
3,tensorflow,https://github.com/tensorflow,tensorflow,https://github.com/tensorflow/tensorflow,168674,An Open Source Machine Learning Framework for Everyone,"['python', 'machine-learning', 'deep-neural-networks', 'deep-learning', 'neural-network', 'tensorflow', 'ml', 'distributed']","Oct 27, 2022",87364,https://github.com/tensorflow/tensorflow#readme,179,"3,222","{'C++': '63.0%', 'Python': '21.6%', 'MLIR': '5.7%', 'Starlark': '3.8%', 'HTML': '2.4%', 'Go': '1.1%'}",70,2114,33776,270,21781
4,TheAlgorithms,https://github.com/TheAlgorithms,Python,https://github.com/TheAlgorithms/Python,147528,All Algorithms implemented in Python,"['python', 'education', 'algorithm', 'practice', 'interview', 'sorting-algorithms', 'learn', 'algos', 'algorithm-competitions', 'sorts', 'hacktoberfest', 'algorithms-implemented', 'community-driven', 'searches']","Oct 27, 2022",37994,https://github.com/TheAlgorithms/Python#readme,0,892,{'Python': '100.0%'},4,80,1114,197,6220
5,huggingface,https://github.com/huggingface,transformers,https://github.com/huggingface/transformers,73048,"🤗Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.","['python', 'nlp', 'machine-learning', 'natural-language-processing', 'deep-learning', 'tensorflow', 'pytorch', 'transformer', 'speech-recognition', 'seq2seq', 'flax', 'pretrained-models', 'language-models', 'nlp-library', 'language-model', 'hacktoberfest', 'bert', 'jax', 'pytorch-transformers', 'model-hub']","Oct 27, 2022",16689,https://github.com/huggingface/transformers#readme,105,"1,505","{'Python': '99.3%', 'Cuda': '0.5%', 'Shell': '0.1%', 'Dockerfile': '0.1%', 'C++': '0.0%', 'C': '0.0%'}",141,410,9833,154,9450
6,practical-tutorials,https://github.com/practical-tutorials,project-based-learning,https://github.com/practical-tutorials/project-based-learning,79848,Curated list of project-based tutorials,"['javascript', 'python', 'golang', 'tutorial', 'cpp', 'beginner-project', 'project', 'webdevelopment']","Oct 19, 2022",11517,https://github.com/practical-tutorials/project-based-learning#readme,0,100,{},1,16,42,10,291
7,pytorch,https://github.com/pytorch,pytorch,https://github.com/pytorch/pytorch,59861,Tensors and Dynamic neural networks in Python with strong GPU acceleration,"['python', 'machine-learning', 'deep-learning', 'neural-network', 'gpu', 'numpy', 'autograd', 'tensor']","Oct 27, 2022",16693,https://github.com/pytorch/pytorch#readme,41,"2,514","{'C++': '49.7%', 'Python': '40.1%', 'Cuda': '4.2%', 'C': '2.4%', 'Objective-C++': '1.2%', 'CMake': '0.9%'}","8,153",9554,19509,935,57658
8,ansible,https://github.com/ansible,ansible,https://github.com/ansible/ansible,55207,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems.","['python', 'ansible', 'hacktoberfest']","Oct 27, 2022",22603,https://github.com/ansible/ansible#readme,"23,089","5,000+","{'Python': '88.0%', 'PowerShell': '7.0%', 'Shell': '2.5%', 'C#': '2.0%', 'Jinja': '0.4%', 'Makefile': '0.1%'}",49,663,30216,329,47789
9,scikit-learn,https://github.com/scikit-learn,scikit-learn,https://github.com/scikit-learn/scikit-learn,51872,scikit-learn: machine learning in Python,"['python', 'data-science', 'machine-learning', 'statistics', 'data-analysis']","Oct 27, 2022",23566,https://github.com/scikit-learn/scikit-learn#readme,30,"2,513","{'Python': '92.0%', 'Cython': '5.9%', 'C++': '1.3%'}",27,1540,8169,595,13792
