,username,userurl,projname,projurl,stars,about,topics,update,forks,readme,release,contributors,languages,branches,open_issues,closed_issues,open_pulls,closed_pulls,dependencies
1,donnemartin,https://github.com/donnemartin,system-design-primer,https://github.com/donnemartin/system-design-primer,201262,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,"['python', 'design', 'development', 'programming', 'web', 'system', 'design-patterns', 'interview', 'web-application', 'webapp', 'interview-practice', 'interview-questions', 'design-system']","Oct 27, 2022",36226,https://github.com/donnemartin/system-design-primer#readme,0,115,"{'Python': 0.98, 'Shell': 0.02}",2,166,68,171,272,[]
140,tensorflow,https://github.com/tensorflow,tensorflow,https://github.com/tensorflow/tensorflow,168691,An Open Source Machine Learning Framework for Everyone,"['python', 'machine-learning', 'deep-neural-networks', 'deep-learning', 'neural-network', 'tensorflow', 'ml', 'distributed']","Oct 28, 2022",87370,https://github.com/tensorflow/tensorflow#readme,179,3222,"{'C++': 0.63, 'Python': 0.22, 'MLIR': 0.06, 'Starlark': 0.04, 'HTML': 0.02, 'Go': 0.01}",71,2117,33781,272,21784,"['/keras-team/keras-applications', '/keras-team/keras-preprocessing', '/actions/checkout', '/actions/checkout', '/actions/checkout', '/actions/upload-artifact', '/actions/checkout', '/citation-file-format/cffconvert-github-action', '/actions/checkout', '/actions/github-script', '/actions/checkout', '/actions/setup-python', '/trilom/file-changes-action', '/actions/checkout', '/peter-evans/create-pull-request', '/actions/checkout', '/actions/upload-artifact', '/github/codeql-action', '/ossf/scorecard-action', '/actions/checkout', '/docker/build-push-action', '/docker/login-action', '/docker/setup-buildx-action', '/actions/checkout', '/docker/build-push-action', '/docker/login-action', '/docker/setup-buildx-action', '/mshick/add-pr-comment', '/actions/checkout', '/docker/build-push-action', '/docker/login-action', '/docker/setup-buildx-action', '/actions/checkout', '/actions/github-script', '/zofrex/mirror-branch', '/actions/checkout', '/peter-evans/create-pull-request', '/numpy/numpy', '/abseil/abseil-py', '/simonpercivall/astunparse', '/google/flatbuffers', '/serge-sans-paille/gast', '/google/pasta', '/h5py/h5py', '/sighingnow/libclang', '/dgasmith/opt_einsum', '/pypa/packaging', '/protocolbuffers/protobuf', '/pypa/setuptools', '/benjaminp/six', '/hfeeki/termcolor', '/python/typing', '/GrahamDumpleton/wrapt', '/numpy/numpy', '/abseil/abseil-py', '/simonpercivall/astunparse', '/google/flatbuffers', '/serge-sans-paille/gast', '/google/pasta', '/grpc/grpc', '/h5py/h5py', '/dgasmith/opt_einsum', '/pypa/packaging', '/protocolbuffers/protobuf', '/scipy/scipy', '/benjaminp/six', '/tensorflow/tensorboard', '/hfeeki/termcolor', '/python/typing', '/Cristie/wheel', '/certifi/python-certifi', '/google/jax', '/google/jax', '/pypa/setuptools', '/pypa/twine', '/google/jax', '/google/jax', '/yaml/pyyaml', '/googleapis/google-api-python-client', '/googleapis/oauth2client', '/numpy/numpy', '/abseil/abseil-py', '/simonpercivall/astunparse', '/pypa/auditwheel', '/google/flatbuffers', '/serge-sans-paille/gast', '/google/pasta', '/grpc/grpc', '/h5py/h5py', '/google/jax', '/google/jax', '/weiwei/junitparser', '/lxml/lxml', '/dgasmith/opt_einsum', '/pypa/packaging', '/protocolbuffers/protobuf', '/channable/pylint', '/yaml/pyyaml', '/grpc/grpc', '/google/jax', '/google/jax', '/scipy/scipy']"
137,CyC2018,https://github.com/CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,157982,📚技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计,"['python', 'java', 'computer-science', 'algorithm', 'leetcode', 'cpp', 'interview', 'system-design']","Oct 7, 2022",49220,https://github.com/CyC2018/CS-Notes#readme,0,1,{},1,115,438,59,534,"['/chaijs/chai', '/gulpjs/gulp', '/gulp-community/gulp-concat', '/gulp-community/gulp-header', '/hparra/gulp-rename', '/lazd/gulp-replace', '/terinjokes/gulp-uglify', '/mochajs/mocha', '/yargs/yargs']"
136,TheAlgorithms,https://github.com/TheAlgorithms,Python,https://github.com/TheAlgorithms/Python,147552,All Algorithms implemented in Python,"['python', 'education', 'algorithm', 'practice', 'interview', 'sorting-algorithms', 'learn', 'algos', 'algorithm-competitions', 'sorts', 'hacktoberfest', 'algorithms-implemented', 'community-driven', 'searches']","Oct 28, 2022",38007,https://github.com/TheAlgorithms/Python#readme,0,894,{'Python': 1.0},4,81,1115,203,6253,"['/waylan/beautifulsoup', '/hellysmile/fake-useragent', '/dmlc/keras', '/lxml/lxml', '/matplotlib/matplotlib', '/numpy/numpy', '/bertsky/wrap_opencv-python-headless', '/pandas-dev/pandas', '/python-pillow/Pillow', '/Acidburn0zzz/ProjectQ', '/Qiskit/qiskit', '/psf/requests', '/Textualize/rich', '/scikit-fuzzy/scikit-fuzzy', '/scikit-learn/scikit-learn', '/statsmodels/statsmodels', '/sympy/sympy', '/tensorflow/tensorflow', '/foutaise/texttable', '/tweepy/tweepy', '/actions/cache', '/actions/checkout', '/actions/setup-python', '/actions/checkout', '/actions/setup-python', '/actions/checkout', '/actions/setup-python']"
135,vinta,https://github.com/vinta,awesome-python,https://github.com/vinta/awesome-python,145350,"A curated list of awesome Python frameworks, libraries, software and resources","['python', 'awesome', 'python-library', 'collections', 'python-framework', 'python-resources']","Oct 25, 2022",22037,https://github.com/vinta/awesome-python#readme,395,1,"{'Python': 0.93, 'Makefile': 0.07}",2,12,410,278,1432,"['/mkdocs/mkdocs', '/squidfunk/mkdocs-material']"
134,practical-tutorials,https://github.com/practical-tutorials,project-based-learning,https://github.com/practical-tutorials/project-based-learning,79892,Curated list of project-based tutorials,"['javascript', 'python', 'golang', 'tutorial', 'cpp', 'beginner-project', 'project', 'webdevelopment']","Oct 19, 2022",11522,https://github.com/practical-tutorials/project-based-learning#readme,0,100,{},1,16,42,10,291,[]
7,nvbn,https://github.com/nvbn,thefuck,https://github.com/nvbn/thefuck,74263,Magnificent app which corrects your previous console command.,"['python', 'shell']","Oct 27, 2022",3282,https://github.com/nvbn/thefuck#readme,17,183,{'Python': 1.0},2,204,450,61,587,"['/PyCQA/flake8', '/calvinchengx/python-mock', '/pexpect/pexpect', '/JessicaTegner/pypandoc', '/pytest-dev/pytest', '/ionelmc/pytest-benchmark', '/nvbn/pytest-docker-pexpect', '/pytest-dev/pytest-mock', '/pypa/setuptools', '/pypa/twine', '/Cristie/wheel', '/msabramo/colorama', '/giampaolo/psutil', '/benjaminp/six', '/actions/cache', '/actions/checkout', '/actions/setup-python']"
20,huggingface,https://github.com/huggingface,transformers,https://github.com/huggingface/transformers,73088,"🤗Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.","['python', 'nlp', 'machine-learning', 'natural-language-processing', 'deep-learning', 'tensorflow', 'pytorch', 'transformer', 'speech-recognition', 'seq2seq', 'flax', 'pretrained-models', 'language-models', 'nlp-library', 'language-model', 'hacktoberfest', 'bert', 'jax', 'pytorch-transformers', 'model-hub']","Oct 28, 2022",16696,https://github.com/huggingface/transformers#readme,105,1506,"{'Python': 0.99, 'Cuda': 0.01, 'Shell': 0.0, 'Dockerfile': 0.0, 'C++': 0.0, 'C': 0.0}",137,407,9842,147,9465,"['/EmilStenstrom/conllu', '/huggingface/datasets', '/huggingface/evaluate', '/nltk/nltk', '/pytest-dev/pytest', '/google-research/google-research', '/chakki-works/seqeval', '/tensorflow/tensorboard', '/EmilStenstrom/conllu', '/huggingface/datasets', '/elastic/elasticsearch-py', '/huggingface/evaluate', '/kyamagu/faiss-wheels', '/google/python-fire', '/pynickle/git-python', '/jitsi/jiwer', '/willingc/librosa', '/matplotlib/matplotlib', '/nltk/nltk', '/pandas-dev/pandas', '/protocolbuffers/protobuf', '/giampaolo/psutil', '/pytest-dev/pytest', '/google-research/google-research', '/mjpost/sacrebleu', '/scikit-learn/scikit-learn', '/google/sentencepiece', '/chakki-works/seqeval', '/actions/cache', '/actions/checkout', '/actions/upload-artifact', '/actions/checkout', '/actions/checkout', '/docker/build-push-action', '/docker/login-action', '/docker/setup-buildx-action', '/actions/checkout', '/docker/build-push-action', '/docker/login-action', '/docker/setup-buildx-action', '/actions/cache', '/actions/checkout', '/peter-evans/create-or-update-comment', '/peter-evans/find-comment', '/thollander/actions-comment-pull-request', '/huggingface/doc-builder', '/huggingface/doc-builder', '/actions/checkout', '/actions/download-artifact', '/actions/checkout', '/peter-evans/create-or-update-comment', '/peter-evans/find-comment', '/huggingface/doc-builder', '/actions/checkout', '/actions/download-artifact', '/actions/upload-artifact', '/actions/cache', '/actions/checkout', '/actions/upload-artifact', '/actions/checkout', '/conda-incubator/setup-miniconda', '/actions/checkout', '/actions/download-artifact', '/actions/upload-artifact', '/actions/checkout', '/actions/download-artifact', '/actions/upload-artifact', '/actions/checkout', '/tj-actions/changed-files', '/actions/checkout', '/actions/download-artifact', '/actions/upload-artifact', '/actions/checkout', '/actions/download-artifact', '/actions/upload-artifact', '/actions/checkout', '/actions/setup-python', '/actions/cache', '/actions/checkout', '/EmilStenstrom/conllu', '/huggingface/datasets', '/elastic/elasticsearch-py', '/huggingface/evaluate', '/kyamagu/faiss-wheels', '/google/python-fire', '/pynickle/git-python', '/jitsi/jiwer', '/willingc/librosa', '/matplotlib/matplotlib', '/nltk/nltk', '/pandas-dev/pandas', '/protocolbuffers/protobuf', '/giampaolo/psutil', '/pytest-dev/pytest', '/google-research/google-research', '/mjpost/sacrebleu', '/scikit-learn/scikit-learn', '/google/sentencepiece', '/chakki-works/seqeval', '/google/flax', '/google/jax', '/google/jax', '/deepmind/optax', '/pytorch/pytorch', '/pytorch/vision', '/EmilStenstrom/conllu', '/huggingface/datasets', '/elastic/elasticsearch-py', '/kyamagu/faiss-wheels', '/google/python-fire', '/pynickle/git-python', '/matplotlib/matplotlib', '/nltk/nltk', '/pandas-dev/pandas', '/protocolbuffers/protobuf', '/giampaolo/psutil', '/pytest-dev/pytest', '/google-research/google-research', '/mjpost/sacrebleu', '/scikit-learn/scikit-learn', '/google/sentencepiece', '/chakki-works/seqeval', '/AVoss84/streamlit', '/tensorflow/tensorboard', '/tensorflow/datasets', '/huggingface/datasets', '/huggingface/evaluate', '/google/flax', '/google/jax', '/google/jax', '/deepmind/optax', '/huggingface/accelerate', '/huggingface/datasets', '/huggingface/evaluate', '/protocolbuffers/protobuf', '/miurahr/py7zr', '/mjpost/sacrebleu', '/google/sentencepiece', '/pytorch/pytorch', '/pytorch/pytorch', '/huggingface/accelerate', '/huggingface/datasets', '/huggingface/evaluate', '/nltk/nltk', '/protocolbuffers/protobuf', '/miurahr/py7zr', '/google-research/google-research', '/google/sentencepiece', '/pytorch/pytorch', '/huggingface/datasets', '/kyamagu/faiss-wheels', '/gitpython-developers/GitPython', '/giampaolo/psutil', '/Lightning-AI/lightning', '/ray-project/ray', '/pytorch/pytorch', '/huggingface/transformers', '/huggingface/datasets', '/google/flax', '/google/jax', '/google/jax', '/deepmind/optax', '/EmilStenstrom/conllu', '/huggingface/datasets', '/elastic/elasticsearch-py', '/kyamagu/faiss-wheels', '/google/python-fire', '/pynickle/git-python', '/matplotlib/matplotlib', '/nltk/nltk', '/pandas-dev/pandas', '/protocolbuffers/protobuf', '/giampaolo/psutil', '/pytest-dev/pytest', '/Lightning-AI/lightning', '/google-research/google-research', '/mjpost/sacrebleu', '/scikit-learn/scikit-learn', '/google/sentencepiece', '/chakki-works/seqeval', '/AVoss84/streamlit', '/tensorflow/tensorboard', '/huggingface/datasets', '/huggingface/evaluate', '/tensorflow/tensorflow', '/huggingface/datasets', '/huggingface/datasets', '/google/flax', '/google/jax', '/google/jax', '/deepmind/optax', '/huggingface/accelerate', '/huggingface/evaluate', '/protocolbuffers/protobuf', '/google/sentencepiece', '/pytorch/pytorch', '/protocolbuffers/protobuf', '/google/sentencepiece', '/pytorch/pytorch', '/huggingface/transformers', '/pytorch/pytorch', '/huggingface/transformers', '/huggingface/datasets', '/nltk/nltk', '/numpy/numpy', '/pandas-dev/pandas', '/tensorflow/tensorflow', '/huggingface/datasets', '/google/flax', '/google/jax', '/google/jax', '/deepmind/optax', '/EmilStenstrom/conllu', '/huggingface/datasets', '/elastic/elasticsearch-py', '/kyamagu/faiss-wheels', '/google/python-fire', '/pynickle/git-python', '/matplotlib/matplotlib', '/nltk/nltk', '/pandas-dev/pandas', '/protocolbuffers/protobuf', '/giampaolo/psutil', '/pytest-dev/pytest', '/ray-project/ray', '/google-research/google-research', '/mjpost/sacrebleu', '/scikit-learn/scikit-learn', '/google/sentencepiece', '/chakki-works/seqeval', '/AVoss84/streamlit', '/tensorflow/tensorboard', '/willingc/jupyter_core', '/ActiveState/appdirs', '/mithrandi/argon2_cffi', '/python-trio/async_generator', '/python-attrs/attrs', '/deepin-community/python-backcall', '/ionrock/cachecontrol', '/certifi/python-certifi', '/chevah/python-cffi', '/dcramer/chardet', '/pallets/click', '/msabramo/colorama', '/jazzband/contextlib2', '/matplotlib/cycler', '/huggingface/datasets', '/micheles/decorator', '/tiran/defusedxml', '/uqfoundation/dill', '/MartijnBraam/distro', '/huggingface/datasets', '/huggingface/evaluate', '/tensorflow/tensorflow', '/huggingface/datasets', '/google/flax', '/google/jax', '/google/jax', '/deepmind/optax', '/chakki-works/seqeval', '/huggingface/datasets', '/pytorch/pytorch', '/pytorch/vision', '/huggingface/accelerate', '/huggingface/datasets', '/huggingface/evaluate', '/protocolbuffers/protobuf', '/google/sentencepiece', '/pytorch/pytorch', '/nltk/nltk', '/Diego999/py-rouge', '/huggingface/transformers', '/huggingface/transformers', '/huggingface/datasets', '/HIT-SCIR/ltp', '/protocolbuffers/protobuf', '/google/sentencepiece', '/huggingface/accelerate', '/huggingface/datasets', '/huggingface/evaluate', '/pytorch/pytorch', '/huggingface/accelerate', '/huggingface/datasets', '/willingc/librosa', '/pytorch/pytorch', '/pytorch/audio', '/huggingface/datasets', '/huggingface/evaluate', '/jitsi/jiwer', '/willingc/librosa', '/pytorch/pytorch', '/pytorch/audio', '/huggingface/datasets', '/jitsi/jiwer', '/kariminf/lang-trans', '/willingc/librosa', '/pytorch/pytorch', '/pytorch/audio', '/huggingface/transformers', '/huggingface/datasets', '/jitsi/jiwer', '/willingc/librosa', '/pytorch/pytorch', '/pytorch/audio', '/protocolbuffers/protobuf', '/google/sentencepiece', '/tensorflow/tensorflow', '/huggingface/accelerate', '/huggingface/datasets', '/huggingface/evaluate', '/protocolbuffers/protobuf', '/scikit-learn/scikit-learn', '/scipy/scipy', '/google/sentencepiece', '/pytorch/pytorch', '/huggingface/transformers', '/huggingface/datasets', '/huggingface/evaluate', '/willingc/librosa', '/pytorch/pytorch', '/pytorch/audio', '/huggingface/datasets', '/huggingface/evaluate', '/pytorch/pytorch', '/pytorch/vision', '/huggingface/accelerate', '/huggingface/datasets', '/huggingface/evaluate', '/chakki-works/seqeval', '/pytorch/pytorch', '/huggingface/datasets', '/ekzhu/datasketch', '/microsoft/dpu-utils', '/huggingface/huggingface_hub', '/tensorflow/tensorboard', '/pytorch/pytorch', '/huggingface/transformers', '/wandb/wandb', '/huggingface/datasets', '/python-pillow/Pillow', '/chakki-works/seqeval', '/huggingface/datasets', '/google/sentencepiece', '/huggingface/datasets', '/huggingface/evaluate', '/pytorch/pytorch', '/huggingface/transformers', '/huggingface/datasets', '/elastic/elasticsearch-py', '/kyamagu/faiss-wheels', '/AVoss84/streamlit', '/willingc/jupyter_core', '/ActiveState/appdirs', '/mithrandi/argon2_cffi', '/python-trio/async_generator', '/python-attrs/attrs', '/deepin-community/python-backcall', '/ionrock/cachecontrol', '/certifi/python-certifi', '/chevah/python-cffi', '/dcramer/chardet', '/pallets/click', '/msabramo/colorama', '/jazzband/contextlib2', '/matplotlib/cycler', '/huggingface/datasets', '/micheles/decorator', '/tiran/defusedxml', '/uqfoundation/dill', '/MartijnBraam/distro', '/huggingface/datasets', '/huggingface/evaluate', '/tensorflow/tensorflow', '/huggingface/datasets', '/pytorch/pytorch', '/pytorch/vision', '/gitpython-developers/GitPython', '/giampaolo/psutil', '/scipy/scipy', '/tensorflow/tensorboard', '/lanpa/tensorboardX', '/huggingface/transformers', '/huggingface/datasets', '/huggingface/evaluate', '/protocolbuffers/protobuf', '/google/sentencepiece', '/tensorflow/tensorflow', '/huggingface/datasets', '/huggingface/evaluate', '/tensorflow/tensorflow', '/h5py/h5py', '/huggingface/knockknock', '/numpy/numpy', '/scipy/scipy', '/pytorch/pytorch', '/pytorch/pytorch', '/huggingface/transformers', '/huggingface/datasets', '/huggingface/evaluate', '/scikit-learn/scikit-learn', '/huggingface/transformers', '/wandb/wandb', '/pytest-dev/py', '/abseil/abseil-py', '/aio-libs/aiohttp', '/aio-libs/aiosignal', '/sqlalchemy/alembic', '/ActiveState/appdirs', '/noushi/apscheduler', '/arrow-py/arrow', '/gristlabs/asttokens', '/simonpercivall/astunparse', '/aio-libs/async-timeout', '/python-attrs/attrs', '/Akujur1/audio', '/zaneb/autopage', '/deepin-community/python-backcall', '/litl/backoff', '/pganssle/zoneinfo', '/audreyfeldroy/binaryornot', '/qualname/grey', '/boto/boto3', '/EmilStenstrom/conllu', '/huggingface/datasets', '/elastic/elasticsearch-py', '/kyamagu/faiss-wheels', '/google/python-fire', '/pynickle/git-python', '/matplotlib/matplotlib', '/nltk/nltk', '/pandas-dev/pandas', '/protocolbuffers/protobuf', '/giampaolo/psutil', '/pytest-dev/pytest', '/Lightning-AI/lightning', '/google-research/google-research', '/mjpost/sacrebleu', '/scikit-learn/scikit-learn', '/google/sentencepiece', '/AVoss84/streamlit', '/tensorflow/tensorboard', '/tensorflow/datasets', '/huggingface/datasets', '/google/flax', '/wbolster/jsonlines', '/google/sentencepiece', '/wandb/wandb', '/huggingface/datasets', '/kyamagu/faiss-wheels', '/nicolargo/nvidia-ml-py3', '/giampaolo/psutil', '/Lightning-AI/lightning', '/ray-project/ray', '/pytorch/pytorch', '/google/flax', '/google/jax', '/google/jax', '/deepmind/optax', '/pytorch/pytorch', '/pytorch/vision', '/joblib/joblib', '/matplotlib/matplotlib', '/numpy/numpy', '/scipy/scipy', '/pytorch/pytorch', '/huggingface/transformers', '/huggingface/accelerate', '/huggingface/datasets', '/protocolbuffers/protobuf', '/scikit-learn/scikit-learn', '/scipy/scipy', '/google/sentencepiece', '/pytorch/pytorch']"
122,pallets,https://github.com/pallets,flask,https://github.com/pallets/flask,60943,The Python micro framework for building web applications.,"['python', 'flask', 'web-framework', 'wsgi', 'jinja', 'werkzeug', 'pallets']","Oct 26, 2022",15318,https://github.com/pallets/flask#readme,23,682,{'Python': 1.0},7,5,2408,4,2269,"['/pallets/click', '/python/importlib_metadata', '/pallets/itsdangerous', '/pallets/jinja', '/pallets/werkzeug', '/benjamin-hodgson/build', '/asottile/cfgv', '/pallets/click', '/deepin-community/python-filelock', '/pre-commit/identify', '/ekalinin/nodeenv', '/pypa/pep517', '/peterdemin/pip-compile-multi', '/magicshui/pip-tools', '/platformdirs/platformdirs', '/pre-commit/pre-commit', '/yaml/pyyaml', '/benjaminp/six', '/uiri/toml', '/vkocubinsky/toposort', '/tox-dev/tox', '/cheshire/virtualenv', '/Cristie/wheel', '/bitprophet/alabaster', '/python-babel/babel', '/certifi/python-certifi', '/Ousret/charset_normalizer', '/kjd/idna', '/shibukawa/imagesize_py', '/pallets/jinja', '/pallets/markupsafe', '/pypa/packaging', '/pallets/pallets-sphinx-themes', '/pygments/pygments', '/pyparsing/pyparsing', '/stub42/pytz', '/psf/requests', '/snowballstem/snowball', '/sphinx-doc/sphinx', '/sloria/sphinx-issues', '/executablebooks/sphinx-tabs', '/sphinx-doc/sphinxcontrib-applehelp', '/pallets/click', '/pallets/itsdangerous', '/pallets/jinja', '/pallets/markupsafe', '/pallets/werkzeug', '/pytest-dev/py', '/QuantumGhost/asgiref', '/python-attrs/attrs', '/pallets-eco/blinker', '/python-greenlet/greenlet', '/pytest-dev/iniconfig', '/pypa/packaging', '/s0undt3ch/pluggy', '/pyparsing/pyparsing', '/pytest-dev/pytest', '/theskumar/python-dotenv', '/chevah/python-cffi', '/pyca/cryptography', '/python/mypy', '/python/mypy_extensions', '/eliben/pycparser', '/python/typeshed', '/python/typeshed', '/python/typeshed', '/python/typing', '/pallets/flask', '/pytest-dev/pytest', '/dessant/lock-threads', '/actions/checkout', '/actions/setup-python', '/pallets/flask', '/pytest-dev/pytest', '/pallets/flask', '/pallets/flask']"
118,521xueweihan,https://github.com/521xueweihan,HelloGitHub,https://github.com/521xueweihan/HelloGitHub,60653,"分享 GitHub 上有趣、入门级的开源项目。Share interesting, entry-level open source projects on GitHub.","['github', 'python', 'awesome', 'hellogithub']","Oct 28, 2022",8109,https://github.com/521xueweihan/HelloGitHub#readme,24,11,{'Python': 1.0},1,39,2293,0,29,['/psf/requests']
